Ticker,RSI14,MACD>Signal,VWAP,LastPx,Px_vs_VWAP,SMA100,Gap%,Guidance
AMD,36.13,False,,157.92,Unknown,141.5013,-5.15,HOLD
ASTS,29.97,False,,41.44,Unknown,40.7761,1.8,HOLD
BBAI,76.17,True,,6.28,Unknown,5.2675,3.65,HOLD
META,64.93,True,,780.25,Unknown,703.6408,0.65,HOLD
MSFT,48.8,True,,508.45,Unknown,487.0797,0.29,HOLD
MSTR,56.05,True,,349.12,Unknown,381.9212,1.87,HOLD
MSTU,52.92,True,,5.58,Unknown,7.6487,3.39,HOLD
NVDA,45.07,False,,176.24,Unknown,156.2986,2.17,HOLD
PLTR,71.88,True,,176.97,Unknown,145.6438,1.15,HOLD
QQQ,70.49,True,,595.32,Unknown,545.9494,0.83,HOLD
RDDT,75.36,True,,270.71,Unknown,163.3191,2.07,HOLD
RKLB,48.8,False,,47.18,Unknown,36.8506,1.75,HOLD
UUUU,68.33,True,,14.1,Unknown,7.7383,1.92,HOLD
VST,61.32,True,,210.16,Unknown,181.6744,2.4,HOLD
