Ticker,RSI14,MACD>Signal,VWAP,LastPx,Px_vs_VWAP,SMA100,Gap%,Guidance,MarketOpen
AMD,68.82,True,,255.6,Unknown,167.0017,1.96,HOLD,True
ASTS,53.35,False,,78.93,Unknown,53.0051,3.12,HOLD,True
BBAI,47.43,False,,7.165,Unknown,6.2709,1.99,HOLD,True
META,65.92,True,,751.145,Unknown,733.1156,1.54,TRIM,True
MSFT,59.61,True,,531.75,Unknown,506.9132,1.56,TRIM,True
MSTR,37.7,False,,297.4076,Unknown,361.4803,3.6,HOLD,True
MSTU,32.98,False,,3.7335,Unknown,6.5173,6.9,HOLD,True
NVDA,56.36,True,,191.0959,Unknown,171.651,2.0,HOLD,True
PLTR,59.63,True,,190.59,Unknown,161.2644,2.35,TRIM,True
QQQ,62.41,True,,627.09,Unknown,572.6404,1.2,HOLD,True
RDDT,57.08,True,,218.6494,Unknown,191.4031,2.57,TRIM,True
RKLB,58.06,False,,66.13,Unknown,46.072,2.52,HOLD,True
UUUU,53.34,False,,19.13,Unknown,11.6195,-5.94,HOLD,True
VST,49.67,False,,199.035,Unknown,195.4853,1.09,TRIM,True
