Ticker,Gap%,Close,SMA100
ASTS,-1.99,97.86,48.00860000000001
NVDA,-1.89,181.9598,167.478298
RDDT,-1.84,200.7739,182.82833900000003
VST,-1.79,206.865,192.44384000000002
QQQ,-1.11,601.57,564.5997
