Ticker,RSI14,MACD>Signal,VWAP,LastPx,Px_vs_VWAP,SMA100,Gap%,Guidance,MarketOpen
AMD,47.03,True,161.49,160.0696,Below,143.3755,0.46,TRIM,True
ASTS,65.55,True,53.9256,53.6801,Below,41.5391,0.09,TRIM,True
BBAI,92.88,True,7.9751,7.905,Below,5.3803,4.1,TRIM,True
META,60.65,True,764.061,758.66,Below,710.1307,0.53,TRIM,True
MSFT,53.77,True,510.978,510.04,Below,490.6993,-0.13,TRIM,True
MSTR,49.55,True,334.2007,329.52,Below,380.7151,0.34,TRIM,True
MSTU,46.64,True,5.1007,4.955,Below,7.5596,0.97,TRIM,True
NVDA,58.17,True,179.7017,177.705,Below,158.412,-0.89,TRIM,True
PLTR,74.11,True,181.8375,178.36,Below,147.5525,1.77,TRIM,True
QQQ,83.92,True,600.2187,597.49,Below,549.7048,0.03,TRIM,True
RDDT,57.77,False,245.6019,240.23,Below,167.3439,-0.77,TRIM,True
RKLB,65.18,True,51.1035,52.14,Above,37.6787,-1.58,HOLD,True
UUUU,78.74,True,16.0061,16.225,Above,8.069,1.48,HOLD,True
VST,63.44,True,207.8916,205.87,Below,184.137,-3.58,TRIM,True
