Ticker,Gap%,Close,SMA100
UUUU,-8.43,22.74,11.1635
ASTS,-8.34,71.35,51.541850000000004
BBAI,-3.81,6.61,6.1809
RKLB,-3.72,60.565,44.931999999999995
