Ticker,RSI14,MACD>Signal,VWAP,LastPx,Px_vs_VWAP,SMA100,Gap%,Guidance,MarketOpen
AMD,49.51,True,161.5549,161.44,Below,144.032,1.29,TRIM,True
ASTS,73.4,True,54.6029,53.98,Below,41.8594,0.33,TRIM,True
BBAI,82.96,True,7.7922,7.56,Below,5.4233,0.63,TRIM,True
META,53.26,False,756.4272,754.68,Below,711.9238,0.28,TRIM,True
MSFT,50.09,True,508.9569,508.0614,Below,491.518,0.23,TRIM,True
MSTR,50.33,True,332.1991,328.17,Below,380.1629,0.87,TRIM,True
MSTU,47.61,True,5.0218,4.91,Below,7.5248,1.73,TRIM,True
NVDA,55.95,True,177.5505,176.8201,Below,159.0711,0.75,TRIM,True
PLTR,70.95,True,180.2614,178.5899,Below,148.2185,0.75,TRIM,True
QQQ,76.81,True,596.3313,595.22,Below,550.8483,0.23,TRIM,True
RDDT,53.96,False,239.7335,240.66,Above,168.5335,1.71,HOLD,True
RKLB,60.15,True,49.7533,49.474,Below,37.9605,-2.11,TRIM,True
UUUU,83.4,True,17.8311,17.505,Below,8.2031,3.96,TRIM,True
VST,59.84,True,203.5711,202.975,Below,184.7774,-0.48,TRIM,True
