Ticker,RSI14,MACD>Signal,VWAP,LastPx,Px_vs_VWAP,SMA100,Gap%,Guidance,MarketOpen
AMD,78.37,True,,219.65,Unknown,153.6013,-0.05,TRIM,True
ASTS,83.91,True,,84.34,Unknown,46.6367,3.47,TRIM,True
BBAI,57.86,True,,7.83,Unknown,5.8758,0.93,TRIM,True
META,30.04,False,,711.575,Unknown,724.6474,-0.35,EXIT,True
MSFT,49.38,True,,513.78,Unknown,500.3866,-0.53,TRIM,True
MSTR,41.6,False,,309.19,Unknown,371.1766,0.9,EXIT,True
MSTU,39.16,True,,4.1758,Unknown,6.9977,1.33,TRIM,True
NVDA,55.44,True,,187.5,Unknown,166.48,0.49,TRIM,True
PLTR,48.98,False,,178.27,Unknown,155.3034,-0.16,TRIM,True
QQQ,43.75,False,,595.44,Unknown,562.9564,0.11,EXIT,True
RDDT,25.06,False,,203.4015,Unknown,180.8472,1.28,EXIT,True
RKLB,78.36,True,,67.315,Unknown,41.8111,6.59,TRIM,True
UUUU,77.47,True,,20.9463,Unknown,9.7275,7.82,TRIM,True
VST,36.74,False,,201.47,Unknown,191.4173,-0.11,EXIT,True
