Ticker,RSI14,MACD>Signal,VWAP,LastPx,Px_vs_VWAP,SMA100,Gap%,Guidance,MarketOpen
AMD,64.18,True,,260.86,Unknown,169.9138,2.4,TRIM,True
ASTS,42.76,False,,78.965,Unknown,53.9577,7.12,EXIT,True
BBAI,43.06,False,,6.765,Unknown,6.3296,0.29,EXIT,True
META,54.76,True,,743.78,Unknown,734.2405,0.44,TRIM,True
MSFT,65.69,True,,538.35,Unknown,508.3353,0.53,TRIM,True
MSTR,33.59,False,,277.575,Unknown,359.6544,-0.09,EXIT,True
MSTU,30.43,False,,3.25,Unknown,6.4332,0.15,EXIT,True
NVDA,62.01,True,,205.71,Unknown,172.9055,3.46,TRIM,True
PLTR,62.34,True,,197.03,Unknown,162.6405,0.78,HOLD,True
QQQ,61.99,True,,632.26,Unknown,574.7549,0.42,TRIM,True
RDDT,49.22,True,,210.265,Unknown,193.3069,-0.8,HOLD,True
RKLB,48.75,False,,65.6792,Unknown,46.8085,0.62,TRIM,True
UUUU,51.03,False,,20.1401,Unknown,11.9105,-2.05,HOLD,True
VST,44.05,False,,198.715,Unknown,195.9361,0.9,HOLD,True
